,artist_name,track_name,track_id,popularity
210,Ice Spice,In Ha Mood,0yUaLqhsVsguBpoOPL4cO7,80
211,BTS,Take Two,5IAESfJjmOYu7cHyX557kz,90
212,Taylor Swift,Never Grow Up (Taylor's Version),2EFZ9emtKWEglWUQGEQ3P9,81
213,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",4nrPB8O7Y7wsOCJdgXkthe,90
214,DaBaby,SHAKE SUMN,3FhZPYvMGSjFc6boVYKlCv,78
215,Morgan Wallen,I Wrote The Book,7phmBo7bB9I9YifAXqnlqV,76
216,Parker McCollum,Burn It Down,09hVlIVHtEE1nLUv6YGZiW,76
217,Yeat,Already Rich,61eJ7HqXGyHfmHIqJApX7v,80
218,Toosii,Pull Up (feat. 21 Savage),4EzkcqltSOxYE2lstuLOFs,78
219,Flyana Boss,You Wish,0aoLgGE9S9qMjIGtTgpnNd,79
220,KAROL G,WATATI (feat. Aldo Ranks) [From Barbie The Album],6MZi5j60L80SZLBxN0bv8s,85
221,NLE Choppa,It's Getting Hot,4lMyi03aRk8nPBLLGyqAVz,79
222,NF,HAPPY,3ZEno9fORwMA1HPecdLi0R,80
223,Conjunto Rienda Real,Sobran Motivos,1uTHr7ij3eiDdUXvQfA5au,81
224,Dylan Scott,This Town's Been Too Good To Us,6vsa5VDsIaWC8oJnowU65l,76
225,Taylor Swift,Ours (Taylor’s Version),3yNJkriPzWjkkDAWHIAVUq,81
226,Marshmello,Fell In Love,1N8klHEbZ0bFOHnMVs8C9S,79
227,Lil Baby,Go Hard,1IzJxbARcQrOWMZgPw1PNj,78
228,KAROL G,PROVENZA,3HqcNJdZ2seoGxhn0wVNDK,85
229,Nicki Minaj,Red Ruby Da Sleeze,4ZYAU4A2YBtlNdqOUtc7T2,79
230,Post Malone,Too Cool To Die,3FtQes77xlbS9QTVts7p2u,80
231,Kanii,I Know - PR1SVX Edit,3vcLw8QA3yCOkrj9oLSZNs,82
232,Lil Uzi Vert,Suicide Doors,3fDTzkvrOo5xQIO480Qmsb,78
233,KAROL G,MIENTRAS ME CURO DEL CORA,6otePxalBK8AVa20xhZYVQ,87
234,Peso Pluma,Las Morras,7Lkxvfl2rkNYWS4kBDCQtN,83
235,TOMORROW X TOGETHER,Do It Like That,7kaFsQygyiCqRboWCXztxZ,85
236,Josh Ross,Trouble,7cRggVoZ18mmvIN2EcSQ3J,76
237,Post Malone,Mourning,3pI3nzi2Y0Iyj1nATDOeQV,79
238,Chris Young,Looking for You,67IfTiMwPNN0wQE7Scfzu9,75
239,Lil Uzi Vert,I Gotta,3lcfs9Qjfxzy00VSVkixDv,77
240,Peso Pluma,CARNAL,2bXJMQZSJND3UYq5mjV4cB,83
241,Taylor Swift,Innocent (Taylor's Version),12nBPF4Rh4XLFJV0YLN7uj,80
242,Post Malone,Novacandy,6V1TqJxtw3P0ouCKICvl9l,79
243,Lil Durk,War Bout It (feat. 21 Savage),4muwDurKeVOB1WBjTVRWlD,77
244,beabadoobee,the way things go,5sA3i6SGkILMiZW6Fhx4wv,80
245,NewJeans,Super Shy,0kwrPQkiGVE8KTHalH1uMo,83
246,Metro Boomin,Hummingbird (Metro Boomin & James Blake),6HexNTb392JS071DoTGo0y,81
247,Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],749HNBEskSdXTKtGYvASFH,83
248,Post Malone,Overdrive,3uMO7jmdXxwSijvxNXDgE4,80
249,Miley Cyrus,Jaded,3AAY8YicetRPlDAkibHLiS,82
250,Rod Wave,Fight The Feeling,7l6nGz4gp6HGs5Cvmdeqe4,75
251,Peso Pluma,GAVILÁN II,775hCSePn3GW4h9nZ636kq,82
252,Carrie Underwood,Out Of That Truck,1xdsRkWxWWUkKhh9hRtfYp,75
253,NewJeans,New Jeans,7woEDtme8YkFiWeyiinIjy,82
254,Sexyy Red,Pound Town 2 (feat. Nicki Minaj & Tay Keith),6IEXjer2qbXhRLFv99NQQv,76
255,Clara La San,In This Darkness,6qrcJkIpuWpxH0ruS8WVAy,79
256,Post Malone,Chemical,7jvtmQ3onpWeUm7dyFSSSc,79
257,Jimin,Like Crazy (English Version),6EY9e6LyPWmL8hUS5E1P0h,80
258,"Tyler, The Creator",DOGTOOTH,6OfOzTitafSnsaunQLuNFw,77
259,DDG,I'm Geekin,4jQF77FelHaw2u1CB0sIfp,77
260,Mae Stephens,If We Ever Broke Up,6maTPqynTmrkWIralgGaoP,86
261,Baby Keem,The Hillbillies,1h6w4POXM2LfG4ZD4xUfZQ,78
262,Brett Young,Dance With You,5SIb4S2seQAeCHPXxiNHBL,75
263,Thomas Rhett,Angels (Don’t Always Have Wings),5vZoQQ1hH5L2s4Y8G86ksg,75
264,Riley Green,Different 'Round Here,4l5w5qGInIhwfvpYmPIYdK,76
265,Yeat,My wrist (with Young Thug),2beD5W9IkefQ04IO39XF7w,77
266,Kodak Black,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",1vvcEHQdaUTvWt0EIUYcFK,84
267,Kanii,Go (Xtayalive 2),1slDsIJxew9AOOA3v0xFzn,80
268,Carin Leon,Primera Cita,4mGrWfDISjNjgeQnH1B8IE,88
269,A$AP Rocky,RIOT (Rowdy Pipe'n),0B1xarnfKvUFWUoFdQnooq,79
270,Moneybagg Yo,Keep It Low (feat. Future),293QwzG48nRXlqk5lGDUbw,76
271,Metro Boomin,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",0B6g379TMw0nYGXA7y5xHz,79
272,Iniko,Jericho,4ztdjZ2t7BVo5DLIFQBdJh,83
273,Taylor Swift,Superman (Taylor’s Version),4evLyY5Ue1Wesc61t2KXAU,79
274,Lil Uzi Vert,Pluto to Mars,0WCJSIy75ZVxqY51ce0enc,76
275,Post Malone,Sign Me Up,4mahloUW5K6KeGijwnMGDr,79
276,Dalton Dover,Giving Up On That,2Iu5OBDudGv5B0qfKKKbGm,74
277,Corey Kent,Wild as Her,3kXH9BQq0TyNliiP1MIE6N,75
278,Ovy On The Drums,EL HECHIZO,1mF6RkY7x1KsDBZS6cV5f1,81
279,boygenius,Not Strong Enough,09DR0sHnQUhHOiSNttc1mv,77
280,Kassi Ashton,Drive You Out Of My Mind,0iqr64c8WWYb549HKs8sqD,74
281,beabadoobee,Glue Song,3iBgrkexCzVuPy4O9vx7Mf,80
282,Post Malone,Don't Understand,4MTuL20LF3pWebeJbcNh7p,78
283,Gucci Mane,Bluffin (feat. Lil Baby),1hS8xbWKEifaf0VuFpIY69,76
284,S3BZS,MONTAGEM - PR FUNK,6njJR3OIp3oA0Kc4aC9Tzf,89
285,Tito Double P,DEMBOW BÉLICO,0FkD2FHEZrZIofVkY6XPFK,84
286,Noah Kahan,Call Your Mom,3yn01PcU95PTbiZ3xvop2j,76
287,Rauw Alejandro,PICARDÍA,05OnZaYopHpb0z7ktT2FIF,85
288,Luke Bryan,But I Got A Beer In My Hand,3jhV8I9sIPXsjPs2ZOnSaf,75
289,Jelly Roll,Save Me (with Lainey Wilson),4Bee3PcNdfeqO1B80dDgFn,75
290,Corey Kent,Something's Gonna Kill Me,41cv1emXVm5Su4DWvltXa6,74
291,Sexyy Red,SkeeYee,7icwQvajsokotDfM3tefW6,75
292,Calvin Harris,Miracle (with Ellie Goulding),5eTaQYBE1yrActixMAeLcZ,90
293,Labrinth,Never Felt So Alone,2NbsBSshscKIPRG3kwBbfo,82
294,Kylie Minogue,Padam Padam,3k0DJq2HdWJqnqor8NX0ac,84
295,Peso Pluma,PRC,0cNSq9T5l8gZnpY14rsTR2,80
296,Lil Uzi Vert,Spin Again,1pDbGAAH5GQ8U0KG4fI77H,75
297,KAROL G,X SI VOLVEMOS,4NoOME4Dhf4xgxbHDT7VGe,85
298,Yandel,Yankee 150,28BSTgZH1ckI8Xfy8LXaRz,86
299,LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife",4QhnNyKDsAkXPwHkSnuc89,85
300,FendiDa Rappa,Point Me 2 (with Cardi B),69ZBK01gsgWUnA55BEaAPu,76
301,Bizarrap,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2NFadq6pUeiVEihLvUlOSr,89
302,NLE Choppa,SLUT ME OUT,0WoVfPjxsf9MTvPt9ptqeE,77
303,Kane Brown,Bury Me in Georgia - Single Edit,2mltIbKkhQqyh8gCzaqxqA,74
304,Grupo Frontera,LE VA DOLER,5dDN8h9dqErwnc88uyKq1b,82
305,Fall Out Boy,We Didn’t Start The Fire,60glT2wsoSHV3B8yCRSB8v,77
306,YOASOBI,アイドル,7ovUcF5uHTBRzUpB6ZOmvt,89
307,The Weeknd,Save Your Tears,03gwHb6iyyfZREaUyUWMWh,5
